agencia,ti,to,indice_indisp,vol_atms,vol_transacao,grupo_controle,onda_fechamento,anomes,anomes_fechamento,periodo_fechamento
2,9727,117162,0.083022,13,9858,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
2,6020,78443,0.076744,18,19528,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
2,9727,117162,0.083022,13,9858,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
2,6020,78443,0.076744,18,19528,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
2,9727,117162,0.083022,13,9858,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
2,6020,78443,0.076744,18,19528,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
5,15783,121642,0.12975,11,6791,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
5,15783,121642,0.12975,11,6791,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
5,15783,121642,0.12975,11,6791,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
5,15783,121642,0.12975,11,6791,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
5,15783,121642,0.12975,11,6791,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
5,15783,121642,0.12975,11,6791,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
5,15783,121642,0.12975,11,6791,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
10,19311,70315,0.274636,7,10499,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
10,15487,109151,0.141886,15,19613,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
10,19311,70315,0.274636,7,10499,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
10,15487,109151,0.141886,15,19613,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
10,19311,70315,0.274636,7,10499,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
10,15487,109151,0.141886,15,19613,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
10,19311,70315,0.274636,7,10499,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
10,15487,109151,0.141886,15,19613,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
10,19311,70315,0.274636,7,10499,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
10,15487,109151,0.141886,15,19613,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
10,19311,70315,0.274636,7,10499,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
10,15487,109151,0.141886,15,19613,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
10,19311,70315,0.274636,7,10499,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
10,15487,109151,0.141886,15,19613,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
12,14792,82353,0.179617,6,9665,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
12,14792,82353,0.179617,6,9665,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
12,14792,82353,0.179617,6,9665,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
12,14792,82353,0.179617,6,9665,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
12,14792,82353,0.179617,6,9665,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
12,14792,82353,0.179617,6,9665,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
12,14792,82353,0.179617,6,9665,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
23,2713,100023,0.027124,12,15869,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
23,2713,100023,0.027124,12,15869,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
23,2713,100023,0.027124,12,15869,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
23,2713,100023,0.027124,12,15869,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
23,2713,100023,0.027124,12,15869,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
23,2713,100023,0.027124,12,15869,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
23,2713,100023,0.027124,12,15869,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
26,18464,129591,0.142479,8,9769,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
26,18464,129591,0.142479,8,9769,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
26,18464,129591,0.142479,8,9769,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
26,18464,129591,0.142479,8,9769,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
26,18464,129591,0.142479,8,9769,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
26,18464,129591,0.142479,8,9769,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
26,18464,129591,0.142479,8,9769,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
27,11878,117469,0.101116,16,1805,NAO,2,202504,202507,POS
27,11878,117469,0.101116,16,1805,NAO,2,202505,202507,POS
27,11878,117469,0.101116,16,1805,NAO,2,202506,202507,POS
27,11878,117469,0.101116,16,1805,NAO,2,202507,202507,POS
27,11878,117469,0.101116,16,1805,NAO,2,202508,202507,POS
27,11878,117469,0.101116,16,1805,NAO,2,202509,202507,POS
27,11878,117469,0.101116,16,1805,NAO,2,202510,202507,POS
28,14535,72725,0.199862,5,3292,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
28,14535,72725,0.199862,5,3292,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
28,14535,72725,0.199862,5,3292,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
28,14535,72725,0.199862,5,3292,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
28,14535,72725,0.199862,5,3292,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
28,14535,72725,0.199862,5,3292,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
28,14535,72725,0.199862,5,3292,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
38,6611,126638,0.052204,17,6428,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
38,6611,126638,0.052204,17,6428,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
38,6611,126638,0.052204,17,6428,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
38,6611,126638,0.052204,17,6428,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
38,6611,126638,0.052204,17,6428,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
38,6611,126638,0.052204,17,6428,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
38,6611,126638,0.052204,17,6428,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
40,13478,77261,0.174448,13,19884,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
40,13478,77261,0.174448,13,19884,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
40,13478,77261,0.174448,13,19884,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
40,13478,77261,0.174448,13,19884,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
40,13478,77261,0.174448,13,19884,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
40,13478,77261,0.174448,13,19884,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
40,13478,77261,0.174448,13,19884,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
41,8810,101875,0.086479,18,10823,NAO,3,202504,202510,PRE
41,8810,101875,0.086479,18,10823,NAO,3,202505,202510,PRE
41,8810,101875,0.086479,18,10823,NAO,3,202506,202510,PRE
41,8810,101875,0.086479,18,10823,NAO,3,202507,202510,PRE
41,8810,101875,0.086479,18,10823,NAO,3,202508,202510,PRE
41,8810,101875,0.086479,18,10823,NAO,3,202509,202510,PRE
41,8810,101875,0.086479,18,10823,NAO,3,202510,202510,PRE
42,11182,113343,0.098656,10,12010,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
42,11182,113343,0.098656,10,12010,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
42,11182,113343,0.098656,10,12010,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
42,11182,113343,0.098656,10,12010,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
42,11182,113343,0.098656,10,12010,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
42,11182,113343,0.098656,10,12010,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
42,11182,113343,0.098656,10,12010,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
43,10667,108565,0.098255,13,16935,NAO,2,202504,202507,PRE
43,10667,108565,0.098255,13,16935,NAO,2,202505,202507,PRE
43,10667,108565,0.098255,13,16935,NAO,2,202506,202507,PRE
43,10667,108565,0.098255,13,16935,NAO,2,202507,202507,PRE
43,10667,108565,0.098255,13,16935,NAO,2,202508,202507,PRE
43,10667,108565,0.098255,13,16935,NAO,2,202509,202507,PRE
43,10667,108565,0.098255,13,16935,NAO,2,202510,202507,PRE
46,3973,114875,0.034585,18,6147,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
46,3973,114875,0.034585,18,6147,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
46,3973,114875,0.034585,18,6147,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
46,3973,114875,0.034585,18,6147,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
46,3973,114875,0.034585,18,6147,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
46,3973,114875,0.034585,18,6147,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
46,3973,114875,0.034585,18,6147,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
47,9440,129800,0.072727,19,5848,NAO,2,202504,202507,PRE
47,4045,83419,0.04849,9,3969,NAO,2,202504,202507,PRE
47,9440,129800,0.072727,19,5848,NAO,2,202505,202507,PRE
47,4045,83419,0.04849,9,3969,NAO,2,202505,202507,PRE
47,9440,129800,0.072727,19,5848,NAO,2,202506,202507,PRE
47,4045,83419,0.04849,9,3969,NAO,2,202506,202507,PRE
47,9440,129800,0.072727,19,5848,NAO,2,202507,202507,PRE
47,4045,83419,0.04849,9,3969,NAO,2,202507,202507,PRE
47,9440,129800,0.072727,19,5848,NAO,2,202508,202507,PRE
47,4045,83419,0.04849,9,3969,NAO,2,202508,202507,PRE
47,9440,129800,0.072727,19,5848,NAO,2,202509,202507,PRE
47,4045,83419,0.04849,9,3969,NAO,2,202509,202507,PRE
47,9440,129800,0.072727,19,5848,NAO,2,202510,202507,PRE
47,4045,83419,0.04849,9,3969,NAO,2,202510,202507,PRE
48,14205,74112,0.191669,14,12710,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
48,14205,74112,0.191669,14,12710,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
48,14205,74112,0.191669,14,12710,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
48,14205,74112,0.191669,14,12710,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
48,14205,74112,0.191669,14,12710,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
48,14205,74112,0.191669,14,12710,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
48,14205,74112,0.191669,14,12710,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
50,1144,122672,0.009326,18,3735,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
50,1144,122672,0.009326,18,3735,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
50,1144,122672,0.009326,18,3735,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
50,1144,122672,0.009326,18,3735,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
50,1144,122672,0.009326,18,3735,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
50,1144,122672,0.009326,18,3735,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
50,1144,122672,0.009326,18,3735,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
56,12308,105586,0.116568,16,17571,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
56,12308,105586,0.116568,16,17571,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
56,12308,105586,0.116568,16,17571,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
56,12308,105586,0.116568,16,17571,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
56,12308,105586,0.116568,16,17571,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
56,12308,105586,0.116568,16,17571,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
56,12308,105586,0.116568,16,17571,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
58,16883,103788,0.162668,13,18927,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
58,16883,103788,0.162668,13,18927,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
58,16883,103788,0.162668,13,18927,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
58,16883,103788,0.162668,13,18927,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
58,16883,103788,0.162668,13,18927,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
58,16883,103788,0.162668,13,18927,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
58,16883,103788,0.162668,13,18927,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
59,14693,74761,0.196533,15,17511,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
59,14693,74761,0.196533,15,17511,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
59,14693,74761,0.196533,15,17511,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
59,14693,74761,0.196533,15,17511,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
59,14693,74761,0.196533,15,17511,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
59,14693,74761,0.196533,15,17511,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
59,14693,74761,0.196533,15,17511,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
62,8995,114790,0.07836,19,17483,NAO,2,202504,202507,POS
62,8995,114790,0.07836,19,17483,NAO,2,202505,202507,POS
62,8995,114790,0.07836,19,17483,NAO,2,202506,202507,POS
62,8995,114790,0.07836,19,17483,NAO,2,202507,202507,POS
62,8995,114790,0.07836,19,17483,NAO,2,202508,202507,POS
62,8995,114790,0.07836,19,17483,NAO,2,202509,202507,POS
62,8995,114790,0.07836,19,17483,NAO,2,202510,202507,POS
63,6530,97768,0.066791,6,6004,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
63,4768,109337,0.043608,17,3285,NAO,2,202504,202507,PRE
63,6530,97768,0.066791,6,6004,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
63,4768,109337,0.043608,17,3285,NAO,2,202505,202507,PRE
63,6530,97768,0.066791,6,6004,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
63,4768,109337,0.043608,17,3285,NAO,2,202506,202507,PRE
63,6530,97768,0.066791,6,6004,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
63,4768,109337,0.043608,17,3285,NAO,2,202507,202507,PRE
63,6530,97768,0.066791,6,6004,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
63,4768,109337,0.043608,17,3285,NAO,2,202508,202507,PRE
63,6530,97768,0.066791,6,6004,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
63,4768,109337,0.043608,17,3285,NAO,2,202509,202507,PRE
63,6530,97768,0.066791,6,6004,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
63,4768,109337,0.043608,17,3285,NAO,2,202510,202507,PRE
64,7641,73611,0.103802,19,1505,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
64,7641,73611,0.103802,19,1505,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
64,7641,73611,0.103802,19,1505,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
64,7641,73611,0.103802,19,1505,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
64,7641,73611,0.103802,19,1505,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
64,7641,73611,0.103802,19,1505,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
64,7641,73611,0.103802,19,1505,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
66,3342,116432,0.028703,18,13018,NAO,3,202504,202510,PRE
66,3342,116432,0.028703,18,13018,NAO,3,202505,202510,PRE
66,3342,116432,0.028703,18,13018,NAO,3,202506,202510,PRE
66,3342,116432,0.028703,18,13018,NAO,3,202507,202510,PRE
66,3342,116432,0.028703,18,13018,NAO,3,202508,202510,PRE
66,3342,116432,0.028703,18,13018,NAO,3,202509,202510,PRE
66,3342,116432,0.028703,18,13018,NAO,3,202510,202510,PRE
67,16813,126803,0.132592,6,12071,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
67,16813,126803,0.132592,6,12071,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
67,16813,126803,0.132592,6,12071,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
67,16813,126803,0.132592,6,12071,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
67,16813,126803,0.132592,6,12071,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
67,16813,126803,0.132592,6,12071,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
67,16813,126803,0.132592,6,12071,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
69,14327,108808,0.131672,9,15172,NAO,2,202504,202507,POS
69,14327,108808,0.131672,9,15172,NAO,2,202505,202507,POS
69,14327,108808,0.131672,9,15172,NAO,2,202506,202507,POS
69,14327,108808,0.131672,9,15172,NAO,2,202507,202507,POS
69,14327,108808,0.131672,9,15172,NAO,2,202508,202507,POS
69,14327,108808,0.131672,9,15172,NAO,2,202509,202507,POS
69,14327,108808,0.131672,9,15172,NAO,2,202510,202507,POS
72,18180,70180,0.259048,9,9636,NAO,2,202504,202507,POS
72,18180,70180,0.259048,9,9636,NAO,2,202505,202507,POS
72,18180,70180,0.259048,9,9636,NAO,2,202506,202507,POS
72,18180,70180,0.259048,9,9636,NAO,2,202507,202507,POS
72,18180,70180,0.259048,9,9636,NAO,2,202508,202507,POS
72,18180,70180,0.259048,9,9636,NAO,2,202509,202507,POS
72,18180,70180,0.259048,9,9636,NAO,2,202510,202507,POS
79,8897,86708,0.102609,9,5125,NAO,3,202504,202509,PRE
79,8897,86708,0.102609,9,5125,NAO,3,202505,202509,PRE
79,8897,86708,0.102609,9,5125,NAO,3,202506,202509,PRE
79,8897,86708,0.102609,9,5125,NAO,3,202507,202509,PRE
79,8897,86708,0.102609,9,5125,NAO,3,202508,202509,PRE
79,8897,86708,0.102609,9,5125,NAO,3,202509,202509,PRE
79,8897,86708,0.102609,9,5125,NAO,3,202510,202509,PRE
82,18651,84077,0.221832,6,4553,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
82,18651,84077,0.221832,6,4553,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
82,18651,84077,0.221832,6,4553,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
82,18651,84077,0.221832,6,4553,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
82,18651,84077,0.221832,6,4553,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
82,18651,84077,0.221832,6,4553,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
82,18651,84077,0.221832,6,4553,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
86,6572,77814,0.084458,14,1930,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
86,12438,89395,0.139135,12,9056,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
86,5155,70617,0.072999,16,6800,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
86,6455,104760,0.061617,7,5432,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
86,6572,77814,0.084458,14,1930,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
86,12438,89395,0.139135,12,9056,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
86,5155,70617,0.072999,16,6800,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
86,6455,104760,0.061617,7,5432,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
86,6572,77814,0.084458,14,1930,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
86,12438,89395,0.139135,12,9056,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
86,5155,70617,0.072999,16,6800,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
86,6455,104760,0.061617,7,5432,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
86,6572,77814,0.084458,14,1930,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
86,12438,89395,0.139135,12,9056,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
86,5155,70617,0.072999,16,6800,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
86,6455,104760,0.061617,7,5432,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
86,6572,77814,0.084458,14,1930,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
86,12438,89395,0.139135,12,9056,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
86,5155,70617,0.072999,16,6800,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
86,6455,104760,0.061617,7,5432,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
86,6572,77814,0.084458,14,1930,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
86,12438,89395,0.139135,12,9056,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
86,5155,70617,0.072999,16,6800,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
86,6455,104760,0.061617,7,5432,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
86,6572,77814,0.084458,14,1930,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
86,12438,89395,0.139135,12,9056,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
86,5155,70617,0.072999,16,6800,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
86,6455,104760,0.061617,7,5432,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
89,8600,77604,0.110819,18,6894,NAO,2,202504,202507,PRE
89,8600,77604,0.110819,18,6894,NAO,2,202505,202507,PRE
89,8600,77604,0.110819,18,6894,NAO,2,202506,202507,PRE
89,8600,77604,0.110819,18,6894,NAO,2,202507,202507,PRE
89,8600,77604,0.110819,18,6894,NAO,2,202508,202507,PRE
89,8600,77604,0.110819,18,6894,NAO,2,202509,202507,PRE
89,8600,77604,0.110819,18,6894,NAO,2,202510,202507,PRE
93,14684,92320,0.159055,17,14836,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
93,14684,92320,0.159055,17,14836,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
93,14684,92320,0.159055,17,14836,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
93,14684,92320,0.159055,17,14836,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
93,14684,92320,0.159055,17,14836,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
93,14684,92320,0.159055,17,14836,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
93,14684,92320,0.159055,17,14836,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
97,14285,89617,0.159401,19,17218,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
97,14285,89617,0.159401,19,17218,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
97,14285,89617,0.159401,19,17218,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
97,14285,89617,0.159401,19,17218,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
97,14285,89617,0.159401,19,17218,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
97,14285,89617,0.159401,19,17218,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
97,14285,89617,0.159401,19,17218,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
98,9707,95535,0.101607,9,18216,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
98,9707,95535,0.101607,9,18216,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
98,9707,95535,0.101607,9,18216,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
98,9707,95535,0.101607,9,18216,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
98,9707,95535,0.101607,9,18216,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
98,9707,95535,0.101607,9,18216,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
98,9707,95535,0.101607,9,18216,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
99,1266,111374,0.011367,19,8273,NAO,3,202504,202510,PRE
99,1266,111374,0.011367,19,8273,NAO,3,202505,202510,PRE
99,1266,111374,0.011367,19,8273,NAO,3,202506,202510,PRE
99,1266,111374,0.011367,19,8273,NAO,3,202507,202510,PRE
99,1266,111374,0.011367,19,8273,NAO,3,202508,202510,PRE
